index,title_year,top200,year,first_year,decade,Category,Era,APP_Era,APP_Era_exp,Existential Threat,Existential Threat_exp,APP_World After,APP_World After_exp,Dystopian/Post-Apoc,Dystopian/Post-Apoc_exp,Inequality,Inequality_exp,Suffering,Suffering_exp,A militarized society,A militarized society_exp,unknown,unknown_exp,society,society_exp,human,human_exp,self,self_exp,Social Issues,Social Issues_exp
1352,Total Recall (1990),1,1990,1990,1990,other,future,future,The story takes place in a future with advanced technology that doesn't exist today.,0.5,"While there are significant threats, they are more personal and societal rather than existential to all humanity.",1,"By the end of the story, the characters' actions have made the world a better place by overthrowing a corrupt regime.",1,The story is set in a dystopian world with a highly controlled and oppressive society.,1,"The setting at the beginning of the story does have a notable amount of inequality, with a stark divide between the ruling class and the oppressed.",1,"There is a notable amount of human suffering, especially among the oppressed and manipulated populace.",0.5,"While the society is somewhat militarized with corporate-controlled forces, it is not entirely focused on military presence.",0.5,"The story involves elements of human vs. the unknown, particularly in the exploration of the protagonist's unknown past and manipulated memories.",1,"The story heavily involves human vs. society conflict, as the protagonist battles against oppressive societal structures.",0.5,"The story involves elements of human vs. the unknown, particularly in the exploration of the protagonist's unknown past and manipulated memories.",1,The story features a human vs. self conflict as the protagonist struggles with his own identity and memories.,1,"The film provides commentary on social issues such as authoritarianism, corporate control, and the nature of reality."
1353,Memories (1995),1,1995,1995,1990,animated/kids/comedy,multiple/other,multiple/other,Memories' takes place in various time periods including the future and an alternate present.,1,There is an existential threat to humanity in at least one of the segments of 'Memories'.,0.5,"The characters' actions result in different outcomes; in some segments, the world changes for the better, and in others, the outcome is more ambiguous.",1,Several segments of 'Memories' are set in dystopian or post-apocalyptic settings.,1,"The settings in 'Memories' do feature notable amounts of inequality, especially in the third segment, 'Cannon Fodder'.",1,There is a notable amount of human suffering evident in 'Memories'.,1,The story within 'Cannon Fodder' in 'Memories' features a militarized society.,1,Several segments of the film involve conflicts between humans and the unknown.,1,"Memories' includes human vs. society conflicts, especially in the 'Stink Bomb' and 'Cannon Fodder' segments.",1,Several segments of the film involve conflicts between humans and the unknown.,0.5,Some segments of 'Memories' feature protagonists dealing with internal conflicts.,1,"Memories' provides commentary on various social issues, including militarization, environmental destruction, and societal oppression."
1356,Donnie Darko (2001),1,2001,2001,2000,other,past,past,"The film is set in the 1980s, which is considered the past.",0.5,"There's no direct existential threat to humanity, but the surreal events pose a significant personal and localized threat.",1,The characters ultimately make the world better by preventing a major catastrophe through the actions and sacrifice of Donnie.,0,"No, the story is not set in a dystopian or post-apocalyptic world, but rather in a seemingly normal suburban town with surreal elements.",0.5,"There are elements of inequality, particularly in the school setting, but it's not a central focus of the film.",1,"Yes, there is a notable amount of human suffering, especially with the mental health struggles and the trials faced by Donnie.",0,"No, the society in the film is not notably militarized.",1,"Yes, Donnie faces an unknown, surreal threat involving time manipulation and visions.",0.5,"Somewhat, as Donnie struggles with societal norms and expectations, but it is not the central conflict.",1,"Yes, Donnie faces an unknown, surreal threat involving time manipulation and visions.",1,"Yes, Donnie's struggle is very much internal, dealing with his own mental health issues and understanding his role in the events unfolding.",1,"Yes, the film touches on social issues such as mental health, teenage angst, and existential dilemmas."
1357,The Butterfly Effect (2004),1,2004,2004,2000,other,multiple/other,multiple/other,The film takes place in both the present and various past timelines due to time travel elements.,0,There is no existential threat to humanity; the conflicts are more personal and interpersonal.,0,"The repeated interventions mostly lead to unintended negative consequences, often making things worse.",0,The story is not set in a dystopian or post-apocalyptic world.,0.5,"There are elements of inequality in the movie, especially considering the different outcomes for the characters based on Evan’s time alterations.",1,"The setting at the beginning of the story does have notable human suffering, particularly in Evan's past.",0,The setting at the beginning of the story does not have a militarized society.,0,The story does not involve a human vs. the unknown conflict. The conflicts are mainly interpersonal and internal.,0.5,"There are some elements of human vs. society conflict, particularly in terms of societal impacts of personal decisions.",0,The story does not involve a human vs. the unknown conflict. The conflicts are mainly interpersonal and internal.,1,"Yes, the story heavily involves a human vs. self conflict, with Evan struggling with the consequences of his actions.",0.5,"The story can be seen as a commentary on the ripple effect of actions and personal responsibility, which are relevant social issues."
1358,28 Days Later (2002),1,2002,2002,2000,other,present,present,"The film takes place in what is understood to be the present day, contemporary to its release in 2002.",1,"Yes, there is an existential threat to humanity in the form of the viral outbreak.",0.5,"The characters in the film manage to find a somewhat safe situation by the end, but the world remains in a state of chaos due to the virus.",1,The story is set in a post-apocalyptic world following the outbreak of the Rage virus.,0,"At the beginning of the story, there is no notable amount of inequality showcased.",0,"At the start of the story, the setting is a normal, modern-day society before the outbreak.",0,The society is not militarized at the beginning of the story.,1,"The story involves a human vs. the unknown conflict, dealing with the unknown virus (Rage) and its effects.",1,The story involves a human vs. society conflict as the characters deal with societal breakdown and the actions of remaining military forces.,1,"The story involves a human vs. the unknown conflict, dealing with the unknown virus (Rage) and its effects.",0,The story does not primarily involve a human vs. self conflict.,0.5,"The story can be seen as a commentary on social issues, particularly the failure of societal structures in the face of disaster, but it is not the primary focus."
1359,Blade: Trinity (2004),1,2004,2004,2000,Marvel/DC/other comic universe,present,present,The film takes place in the present era.,1,"There is an existential threat to humanity in the form of vampires, especially with the resurrection of Dracula.",1,The characters aim to make the world better by eradicating the vampire threat.,0.5,The world is not entirely dystopian or post-apocalyptic but has elements of a dystopia due to the vampire threat.,1,There is notable inequality due to the dominance of vampires over humans.,1,There is a notable amount of human suffering as vampires prey on humans.,0.5,"While not militarized in a traditional sense, there are organized groups both for and against vampires, including covert militant factions.",1,"The story involves a human vs. the unknown conflict, with the unknown threat being Dracula.",1,The story involves a human vs. society conflict as Blade fights against the vampire society.,1,"The story involves a human vs. the unknown conflict, with the unknown threat being Dracula.",0,There is no significant focus on a human vs. self conflict in the story.,0.5,"The story touches on themes of survival, oppression, and resistance, which can be seen as a commentary on social issues."
1360,Edge of Tomorrow (2014),1,2014,2014,2010,other,future,future,The film is set in a future where advanced military technology exists.,1,There is an existential threat to humanity in the form of an alien invasion.,1,The characters make the world better by the end of the film by defeating the aliens.,0.5,The world is not entirely dystopian or post-apocalyptic but has dystopian elements due to the alien invasion.,0.5,"While there is a clear military hierarchy, the film does not focus heavily on societal inequality.",1,There is notable human suffering due to the alien war.,1,The society is highly militarized as humans are in the midst of a war with aliens.,1,The story involves humans fighting an unknown alien threat.,0,The main conflict is not between humans and society but humans and aliens.,1,The story involves humans fighting an unknown alien threat.,1,The protagonist faces significant internal conflict regarding his repeated deaths and growing despair.,0.5,"The story predominantly focuses on the alien invasion, but there are undercurrents of commentary on warfare and sacrifice."
1361,The Maze Runner (2014),1,2014,2014,2010,other,future,future,The story takes place in a future where society has collapsed.,1,There is an existential threat to humanity due to the catastrophic events and the survival tests in the maze.,0.5,"The characters attempt to make the world better by escaping the maze, but the overall situation remains uncertain due to ongoing threats.",1,"The story is set in a dystopian, post-apocalyptic world.",0,The initial setting inside the maze does not display notable inequality among the Gladers.,1,There is a notable amount of human suffering due to the lethal threats and the harsh living conditions in the maze.,0,The Gladers are not a militarized society at the beginning.,1,The story involves a human vs. the unknown conflict as the characters navigate the unknown maze and its dangers.,0.5,"There is some element of human vs. society conflict, especially involving the organization that put them in the maze.",1,The story involves a human vs. the unknown conflict as the characters navigate the unknown maze and its dangers.,1,"Several characters face internal struggles about their identity, purpose, and past memories.",1,"The story can be seen as a commentary on society, control, and human resilience."
1362,The Meg (2018),1,2018,2018,2010,other,present,present,The film is set in the present era.,0.5,"The megalodon poses a significant threat, but it is not framed as an existential threat to all humanity.",0.5,"The characters manage to eliminate the threat, potentially making the world safer, but the film does not strongly emphasize the overall state of the world.",0,The story is not set in a dystopian or post-apocalyptic world.,0,The setting does not focus on a notable amount of inequality at the beginning of the story.,0,The setting does not show a notable amount of human suffering at the beginning of the story.,0,The society in the story is not militarized at the beginning.,1,The story involves a conflict between humans and the unknown threat of the megalodon.,0,The story does not involve a human vs. society conflict.,1,The story involves a conflict between humans and the unknown threat of the megalodon.,0.5,"There are elements of a human vs. self conflict, particularly with Jason Statham's character grappling with his past decisions.",0,The story is primarily an action thriller and does not focus on social issues of today.
1363,X-Men: Dark Phoenix (2019),1,2019,2019,2010,Marvel/DC/other comic universe,present,present,The film is set in the present day (of its narrative timeline).,1,"Yes, there is an existential threat to humanity from the Phoenix Force.",0.5,"The characters' actions lead to changes, and it's implied that Jean's sacrifice may make the world somewhat safer; however, the world doesn't undergo a dramatic transformation.",0,"No, the story is not set in a dystopian or post-apocalyptic world.",0,"No, the setting does not have a notable amount of inequality at the beginning of the story.",0,"No, the setting does not have a notable amount of human suffering at the beginning of the story.",0,"No, the setting does not have a militarized society at the beginning of the story.",1,"Yes, the story involves a conflict between humans (mutants) and the unknown entity of the Phoenix Force.",0.5,"Somewhat, the story involves conflict with societal elements regarding mutant acceptance and government actions.",1,"Yes, the story involves a conflict between humans (mutants) and the unknown entity of the Phoenix Force.",1,"Yes, Jean Grey struggles with the conflict within herself regarding the Phoenix Force.",0.5,"Somewhat, while the primary focus is on the characters and their powers, the film can be viewed as a commentary on control, fear, and identity."
1367,Godzilla vs. Kong (2021),1,2021,2021,2020,other,present,present,The film takes place in the present era with contemporary technology and societal structures.,1,"There is an existential threat to humanity in the story, particularly from the destructive potential of Godzilla, Kong, and Mechagodzilla.",1,"The characters aim to restore balance by ensuring Godzilla and Kong are no longer threats to humanity, resulting in a potentially better world.",0.5,"The setting involves elements of apocalyptic scenarios with Titan destruction, but it is not wholly a dystopian or post-apocalyptic world.",0.5,"There is some inequality regarding access to advanced technology and information about Titans, but it is not necessarily a prominent theme.",0.5,"Human suffering exists due to Titan attacks, but it is not a pervasive focus at the beginning of the story.",0.5,"There is a degree of militarization in the form of defenses against Titans, but it is not an overly militarized society as a whole.",1,"The story involves conflicts between humans and the unknown, particularly the mysterious behavior of Godzilla and the unknown elements within the Hollow Earth.",0,The main conflict does not focus on human vs. society issues.,1,"The story involves conflicts between humans and the unknown, particularly the mysterious behavior of Godzilla and the unknown elements within the Hollow Earth.",0,The film does not explore significant human vs. self-conflict.,0.5,"There are minor commentaries on the use of technology and dealing with natural threats, but it is not a primary focus."
1369,Project Power (2020),1,2020,2020,2020,other,present,present,The film takes place in a version of the present day.,0,"There is no existential threat to humanity as a whole, but there are significant threats to individual lives and societal stability.",0.5,"The protagonists manage to mitigate the immediate threat, but the long-term impact on the world remains ambiguous, thereby making the world somewhat better.",0.5,"The story is not set in a fully dystopian or post-apocalyptic world, but it does have dystopian elements.",1,"Yes, the setting at the beginning of the story has a notable amount of inequality, especially between those who have access to the drug and those who don't.",1,"Yes, the story starts with a notable amount of human suffering, particularly among those affected by the drug and its consequences.",0,"The society is not explicitly militarized, but there are elements of law enforcement and underground criminal activities.",1,"The story involves a human vs. the unknown conflict, primarily revolving around the mysterious and dangerous drug.",1,The story involves a human vs. society conflict as the protagonists fight against systemic corruption and the societal impact of the drug.,1,"The story involves a human vs. the unknown conflict, primarily revolving around the mysterious and dangerous drug.",0.5,"There are elements of human vs. self conflict, especially among characters grappling with their own morals and decisions.",1,"Yes, the story is a commentary on social issues of today such as inequality, drug abuse, and the abuse of power."
1370,Sputnik (2020),1,2020,2020,2020,other,past,past,"The film is set during the Cold War era, indicating it takes place in the past.",1,The alien entity poses a possible existential threat to humanity through its parasitic and potentially dangerous behavior.,0,"The conclusion of the film leaves the outcome uncertain, with both the scientist and the cosmonaut facing dire consequences, not clearly making the world better or worse.",0.5,"The setting is not strictly dystopian or post-apocalyptic, but it does portray a grim, tightly controlled military regime which has dystopian elements.",1,"The setting shows significant inequality, particularly in terms of the control and secrecy maintained by the military.",1,"Human suffering is evident at the beginning, especially with the cosmonauts dealing with the aftereffects of the alien encounter.",1,"The story is embedded within a militarized context, with the main actions taking place in a secret Soviet military facility.",1,The main conflict is between humans and the unknown alien entity.,0.5,"There are elements of human vs. society conflict, especially concerning the moral and ethical dilemmas faced by the characters against the backdrop of a repressive regime.",1,The main conflict is between humans and the unknown alien entity.,0.5,"There is some degree of human vs. self conflict, particularly in the scientist's moral struggles, but it is not the primary focus.",0.5,"While the story touches on themes such as authoritarianism and ethical dilemmas, it is not predominantly a commentary on social issues of today."
1371,WarGames (1983),1,1983,1983,1980,other,present,present,"The film is set in the present day of 1983, the year it was released.",1,There is an existential threat of global nuclear war presented in the story.,1,"The protagonists manage to prevent a nuclear war, thereby making the world better.",0,The story is not set in a dystopian or post-apocalyptic world.,0,The setting does not prominently feature inequality.,0,There is no notable amount of human suffering at the beginning of the story.,1,The setting includes a highly militarized society due to the Cold War context.,1,The story involves a conflict between humans and an unknown threat in the form of an advanced computer system.,1,"There is a conflict against societal elements, including the military's reliance on automated systems.",1,The story involves a conflict between humans and an unknown threat in the form of an advanced computer system.,0,The story does not prominently feature a human vs. self conflict.,1,The story comments on the risks of excessive reliance on technology and the potential for accidental nuclear war.
1372,Firestarter (1984),1,1984,1984,1980,other,present,present,The film is set in the present time relative to when it was made (the 1980s).,0,There is no existential threat to humanity; the threat is more focused on the protagonists and the government agency involved.,0,The film does not make a clear statement about how the events of the story affect the broader world.,0,The story is not set in a dystopian or post-apocalyptic world.,0,Inequality is not a notable aspect at the beginning of the story.,0.5,"The story involves some human suffering, particularly with the protagonists being hunted, but it is not a defining feature of the world.",0,"The society itself is not militarized, though the secret government agency involved in the story does have militaristic aspects.",0.5,"There is some aspect of human vs. the unknown, primarily related to the mysterious powers, but it is not the main conflict.",1,"The story involves a conflict between the protagonists and the secret government agency, which is a societal institution.",0.5,"There is some aspect of human vs. the unknown, primarily related to the mysterious powers, but it is not the main conflict.",0,There is no significant element of human vs. self conflict in the story.,0.5,The film can be seen as a commentary on government overreach and the ethics of scientific experimentation.
1373,Alien 3 (1992),1,1992,1992,1990,other,future,future,The film takes place in a futuristic setting.,1,The Alien represents an existential threat to humanity within the context of the story.,0.5,"While the characters try to resolve the situation, the universe they inhabit remains bleak after the story ends.",1,"The setting is dystopian, as evidenced by the grim setting of the prison colony and the overarching bleakness of the world.",1,"The film is set in a prison colony, which inherently involves significant inequality.",1,"The setting involves considerable human suffering, given the conditions in the prison colony.",0,"The society in the film, being a penal colony, is not notably militarized but is strictly controlled.",1,"The conflict between humans and the Alien is a central theme, representing a human vs. the unknown conflict.",1,There is a conflict between individual characters and the rules and structure of the prison society.,1,"The conflict between humans and the Alien is a central theme, representing a human vs. the unknown conflict.",1,"Ripley struggles with her own sense of guilt, duty, and purpose, representing a human vs. self conflict.",0.5,"While not overtly a commentary on social issues, it reflects issues like corporate greed and the penal system."
1374,Mission to Mars (2000),1,2000,2000,2000,other,future,future,"The film takes place in the future, during a manned mission to Mars.",0.5,"There is a potential existential threat due to the unknowns on Mars, but it is not the central focus.",1,The characters in the film make the world better by discovering crucial information about Mars and humanity's origins.,0,The story is not set in a dystopian or post-apocalyptic world.,0,The setting at the beginning of the story does not depict notable inequality.,0,The setting does not show notable human suffering at the beginning of the story.,0,The setting does not feature a militarized society.,1,"The story involves a human vs. the unknown conflict, especially with the mysteries of Mars.",0,There is no significant human vs. society conflict in the story.,1,"The story involves a human vs. the unknown conflict, especially with the mysteries of Mars.",0.5,There are elements of human vs. self conflict as characters deal with personal challenges and fears.,0.5,"The story has some commentary on human exploration and curiosity, but it's not a primary focus."
1376,Green Lantern (2011),1,2011,2011,2010,Marvel/DC/other comic universe,present,present,"The film is set in the present era, during the time it was released.",1,Parallax poses an existential threat to humanity and other worlds.,1,"By defeating Parallax, the characters make the world safer than it was before.",0,The story is not set in a dystopian or post-apocalyptic world.,0.5,"There is some inequality depicted, such as the contrast between the privileged and those who struggle.",0,The beginning of the story does not depict notable human suffering on a wide scale.,0,The society at the beginning of the story does not appear to be notably militarized.,1,The conflict involves Hal Jordan (a human) against Parallax and the unknown capabilities of the Green Lantern ring.,0,There is no substantial conflict involving human vs. society.,1,The conflict involves Hal Jordan (a human) against Parallax and the unknown capabilities of the Green Lantern ring.,1,The story involves Hal Jordan's internal conflict dealing with fear and self-doubt.,0.5,"The story lightly touches on themes such as responsibility and courage, which can be seen as reflecting social issues, but it's not the main focus."
1377,Ender's Game (2013),1,2013,2013,2010,other,future,future,The film takes place in a future setting with advanced space and military technologies.,1,There is an existential threat to humanity from the alien race known as the Formics.,0.5,"The outcome is ambiguous—while the Formic threat is neutralized, the morality of the humans' actions and the future stability is uncertain.",1,"The world presented in the story has elements of a dystopian society, especially concerning the militarization and authoritarian control.",1,"The setting shows a notable amount of inequality, with children being selected and trained for military purposes based on their abilities.",1,"There is human suffering depicted, especially among the young recruits who are subjected to rigorous and harsh training.",1,"The society is highly militarized, focusing on preparing for war against the Formics.",1,"The story involves a conflict between humans and the unknown alien species, the Formics.",1,"There is a human vs. society conflict, with Ender challenging the rigid, militaristic society and its moral decisions.",1,"The story involves a conflict between humans and the unknown alien species, the Formics.",1,"Ender faces a significant internal conflict, grappling with the morality of his actions and the pressure placed on him.",1,"The story can be seen as a commentary on the ethics of war, the militarization of society, and the use of children in warfare."
1378,Bumblebee (2018),1,2018,2018,2010,other,past,past,The film takes place in the year 1987.,1,There is an existential threat to humanity from the Decepticons seeking to establish a base on Earth.,1,The characters make the world better by preventing the Decepticons from establishing a base on Earth.,0,The story is not set in a dystopian or post-apocalyptic world.,0,The setting at the beginning of the story does not have a notable amount of inequality.,0,The setting at the beginning of the story does not have a notable amount of human suffering.,0,The society is not notably militarized at the beginning of the story.,1,The story involves a conflict between humans and the unknown Decepticons.,0,The story does not appear to involve a human vs. society conflict.,1,The story involves a conflict between humans and the unknown Decepticons.,1,"The protagonist, Charlie, deals with an internal conflict related to her family and coming-of-age.",0.5,"While the story has elements that reflect social issues, such as themes of belonging and acceptance, it is not a direct commentary on today's social issues."
1379,Men in Black: International (2019),1,2019,2019,2010,animated/kids/comedy,present,present,The film is set in a contemporary setting with advanced technology.,1,The alien threat posed in the film is a significant danger to humanity.,1,"By the end of the film, the protagonists have neutralized the threat, presumably making the world safer and better.",0,"The film is set in a fairly normal, albeit technologically advanced, world and not a dystopian or post-apocalyptic one.",0.5,"The film doesn't heavily focus on inequality, but the presence of secret agencies controlling alien interactions suggests some power imbalances.",0.5,There is some level of human suffering due to the actions of the alien threat.,0.5,"The Men in Black organization is highly militarized, though the wider society is not.",1,The conflict revolves around humans dealing with an unknown alien threat.,0,The main conflict is not centered around human vs. society dynamics.,1,The conflict revolves around humans dealing with an unknown alien threat.,0.5,"There are minor elements of characters dealing with their personal issues, but it is not the main focus.",0.5,"While not a central theme, there are undertones related to trust, corruption, and authority."
1381,The Mitchells vs. the Machines (2021),1,2021,2021,2020,animated/kids/comedy,present,present,"The film takes place in the present era, with contemporary technology and societal settings.",1,There is an existential threat to humanity posed by the AI and robots aiming to overthrow human civilization.,1,The characters make the world better by the end of the film by successfully stopping the robot apocalypse.,0.5,"While not traditionally dystopian or post-apocalyptic, the world briefly turns into a dystopia due to the robot uprising.",0,The setting at the beginning does not exhibit a notable amount of inequality.,0,The setting at the beginning does not have a notable amount of human suffering; it has normal family and societal issues.,0,The society at the beginning is not militarized.,1,"The story involves a human vs. the unknown conflict, primarily against the AI and robots.",0.5,"There is a minor element of human vs. society conflict, especially in the way technology impacts human relationships.",1,"The story involves a human vs. the unknown conflict, primarily against the AI and robots.",0.5,"There is an element of human vs. self conflict, especially with Katie and her relationship with her family.",1,The story comments on the social issue of over-reliance on technology and its impact on human relationships.
1382,Outside the Wire (2021),1,2021,2021,2020,other,future,future,The film is set in a future where advanced drones and AI are part of the military.,0.5,"There is a significant threat from rogue AI and military actions, but it is not an existential threat to all of humanity.",0.5,The characters' actions lead to a complicated outcome that is somewhat ambiguous as to whether the world is better or worse.,1,The film is set in a dystopian future where advanced military technologies play a significant role in conflicts.,1,There is notable inequality due to the militarized and conflict-ridden environment.,1,There is significant human suffering due to ongoing conflicts and military actions.,1,The setting at the beginning of the story is heavily militarized.,1,The story involves humans facing unknown threats from advanced AI and rogue military factions.,1,The story includes a conflict between individuals and larger societal/military structures.,1,The story involves humans facing unknown threats from advanced AI and rogue military factions.,0.5,"There are elements of human vs. self conflict, as characters struggle with their decisions and loyalty.",1,The film comments on the use of AI in military operations and the ethical implications of advanced technology in warfare.
1383,Black Crab (2022),1,2022,2022,2020,other,future,future,The film takes place in a dystopian future.,1,"Yes, there is an existential threat to humanity in the story.",0.5,"Somewhat. The characters’ actions have an impact, but the overall world may not necessarily become significantly better or worse.",1,"Yes, the story is set in a dystopian or post-apocalyptic world.",1,"Yes, the setting at the beginning of the story has a notable amount of inequality.",1,"Yes, there is a notable amount of human suffering at the beginning of the story.",1,"Yes, the society is heavily militarized.",1,"Yes, the story involves a human vs. the unknown conflict.",1,"Yes, the story involves a human vs. society conflict.",1,"Yes, the story involves a human vs. the unknown conflict.",0.5,Somewhat. There are elements of a human vs. self conflict related to personal challenges and decision-making.,1,"Yes, the story is a commentary on social issues of today, particularly war and its impact on society and individuals."
1384,Vesper (2022),1,2022,2022,2020,other,future,future,The film 'Vesper' takes place in the future.,1,There is an existential threat to humanity in the story.,0.5,"The characters in the film attempt to make the world better, and there are elements of change, but the outcome is somewhat ambiguous.",1,The story is set in a dystopian or post-apocalyptic world.,1,The setting at the beginning of the story has a notable amount of inequality.,1,The setting at the beginning of the story has a notable amount of human suffering.,0.5,"The setting is somewhat militarized, as the dystopian landscape implies control through power and survival tactics.",1,The story involves a human vs. the unknown conflict due to the dystopian and survival elements.,1,"The story involves a human vs. society conflict, as characters struggle against the authoritarian regime.",1,The story involves a human vs. the unknown conflict due to the dystopian and survival elements.,0.5,"The story may include elements of human vs. self conflict, as characters deal with personal struggles, though it is not the main focus.",1,"The story is a commentary on social issues of today, such as inequality, environmental decay, and authoritarianism."
1385,In Like Flint (1967),1,1967,1967,1960,animated/kids/comedy,present,present,"The film takes place in the 'present', reflecting the 1960s when it was made.",0.5,"Somewhat, as the threat of a global takeover by a covert group poses a significant danger but is not quite an existential threat to all of humanity.",1,"Yes, the characters make the world better by thwarting the conspiracy and preventing the global takeover.",0,"No, the story is not set in a dystopian or post-apocalyptic world.",1,"Yes, there is a notable amount of inequality, particularly gender inequality, as a major plot involves women trying to undermine male-dominated power structures.",0.5,"Somewhat, as there are elements of human suffering related to the conspiracy and power struggles.",0.5,"Somewhat, as the setting includes elements of espionage and military tactics but is not fully militarized.",1,"Yes, the story involves a human vs. the unknown conflict as the protagonists face a secretive and novel threat.",0,"No, the primary conflict is not human vs. society.",1,"Yes, the story involves a human vs. the unknown conflict as the protagonists face a secretive and novel threat.",0,"No, the story does not focus on a human vs. self conflict.",0.5,"Somewhat, the story touches on social issues such as gender roles and power dynamics but is not primarily a social commentary."
1387,Invasion of the Body Snatchers (1978),1,1978,1978,1970,other,present,present,"The film is set in the contemporary era of its release, which is the present (late 1970s).",1,"Yes, there is an existential threat to humanity from the alien invaders.",0,"No, the characters are unable to stop the invasion and the world becomes worse.",1,"Yes, the story is set in a world that becomes dystopian as the alien invasion progresses.",0,"No, the setting at the beginning does not notably depict inequality.",0,"No, at the beginning, there is no notable amount of human suffering.",0,"No, the society is not notably militarized at the beginning of the story.",1,"Yes, the story involves a human vs. the unknown conflict with the alien invaders.",1,"Yes, the story also involves a human vs. society conflict as individuals struggle against a society overtaken by aliens.",1,"Yes, the story involves a human vs. the unknown conflict with the alien invaders.",0.5,Somewhat. There are moments where the protagonists struggle with their own fear and paranoia.,1,"Yes, the story can be seen as a commentary on issues such as conformity and loss of individuality."
1388,The Satan Bug (1965),1,1965,1965,1960,other,present,present,"The film is set in the time period around when it was made, which is the mid-1960s.",1,There is an existential threat to humanity posed by the virus.,1,"The characters manage to neutralize the threat, thereby likely making the world better than it was at the start of the story.",0,The story is not set in a dystopian or post-apocalyptic world.,0,The setting at the beginning of the story does not indicate a notable amount of inequality.,0,The story starts in a typical mid-1960s setting without significant human suffering being depicted.,0,The society does not appear militarized at the beginning of the story.,1,"The threat is a virus, representing a human vs. the unknown conflict.",0,The core conflict does not involve society as a whole but rather focuses on the protagonists versus the virus.,1,"The threat is a virus, representing a human vs. the unknown conflict.",0,The main conflict is not internal to a character but rather external.,0,"While it involves a scientific thriller, it doesn't directly comment on social issues of its time."
1389,The Stepford Wives (1975),1,1975,1975,1970,other,present,present,The film takes place in the 'present' era of the mid-1970s.,0,"There is no existential threat to humanity, but rather a localized threat to individuals in Stepford.",0,"The characters in the film make the world worse as they ultimately fall victim to the threat, perpetuating the cycle.",0.5,The story has dystopian elements but is not set in a completely dystopian or post-apocalyptic world.,1,The setting at the beginning of the story shows a notable amount of gender inequality.,0,The setting at the beginning does not have a notable amount of human suffering.,0,The setting at the beginning does not have a militarized society.,0.5,The story involves a human vs. the unknown conflict in the form of understanding the strange changes in Stepford.,1,The story involves a human vs. society conflict in challenging the oppressive norms in Stepford.,0.5,The story involves a human vs. the unknown conflict in the form of understanding the strange changes in Stepford.,0,There is no significant human vs. self conflict in the story.,1,The story is a commentary on the social issues of gender roles and equality.
1390,E.T. the Extra-Terrestrial (1982),1,1982,1982,1980,animated/kids/comedy,present,present,The film is set in the present day (1980s) when it was created.,0,There is no existential threat to humanity in the story.,1,"By helping E.T. return home, the characters make the world a better place, showing themes of empathy and friendship.",0,The world in the film is not dystopian or post-apocalyptic.,0.5,"There is some general societal inequality depicted, such as the struggle of the single-parent family, but it is not a central theme.",0,There is no notable amount of human suffering at the beginning of the story; it portrays a relatively normal suburban setting.,0,The society at the beginning of the story is not militarized.,1,The story involves a conflict between humans (the protagonists) and the unknown (E.T. and the consequent events).,0,There is no central conflict between individuals and society as a whole.,1,The story involves a conflict between humans (the protagonists) and the unknown (E.T. and the consequent events).,0.5,"There are minor internal struggles, such as overcoming fear, but it's not a central conflict.",0.5,"While not heavily focused on social issues, themes of empathy, friendship, and understanding the 'other' can be seen as a soft commentary on social issues."
1391,Starman (1984),1,1984,1984,1980,other,present,present,The film takes place in the present era of the 1980s.,0.5,"There is somewhat of an existential threat as the government sees the alien as a potential danger, but it's not a global threat to humanity.",1,The characters make the world better as they learn to trust and communicate with the alien visitor.,0,The story is not set in a dystopian or post-apocalyptic world; it is set in a contemporary 1980s world.,0,The setting at the beginning of the story does not have a notable amount of inequality.,0,The setting at the beginning of the story does not have a notable amount of human suffering.,0,The setting at the beginning of the story does not depict a militarized society.,1,"The story involves a human vs. the unknown conflict, as the protagonists deal with an alien visitor.",1,The story involves a human vs. society conflict as the government tries to capture the alien.,1,"The story involves a human vs. the unknown conflict, as the protagonists deal with an alien visitor.",0,The story does not prominently involve a human vs. self conflict.,0.5,The story somewhat comments on social issues such as government mistrust and fear of the unknown.
1392,Superman II: The Richard Donner Cut (1980),1,1980,1980,1980,Marvel/DC/other comic universe,present,present,The film is set in the present-day world (relative to the time it was made).,1,There is an existential threat to humanity posed by General Zod and his associates.,1,The characters make the world better by defeating General Zod and restoring peace.,0,The story is not set in a dystopian or post-apocalyptic world.,0,The setting at the beginning does not have a notable amount of inequality.,0,The setting at the beginning does not have a notable amount of human suffering.,0,The setting at the beginning does not have a militarized society.,0,The story does not involve a human vs. the unknown conflict as the threat is known to Superman.,0,The story does not primarily involve a human vs. society conflict.,0,The story does not involve a human vs. the unknown conflict as the threat is known to Superman.,0.5,There is a minor human vs. self conflict as Superman struggles with his identity and responsibilities.,0.5,"The story can be somewhat seen as commentary on power, responsibility, and leadership."
